,longitude,latitude,housing_median_age,median_income,house_category,bedrooms_per_person,rooms_per_person,bedrooms_per_rooms,bedrooms_per_family,Pessoas_por_familia,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,valor_real,valor_previsto,diferenca,porcentagem,categoria_desconto
14207,-117.03,32.7,19.0,2.2866,20%-40%,0.2845771144278607,1.146268656716418,0.2482638888888889,1.0287769784172662,3.615107913669065,0,0,0,0,1,109900.0,155520.0,-45620.0,-29.33384773662551,Desconto muito alto
7032,-118.1,33.96,36.0,3.9549,40%-60%,0.29471544715447157,1.363821138211382,0.21609538002980627,0.9157894736842105,3.1073684210526316,1,0,0,0,0,192100.0,188130.0,3970.0,2.1102429171317705,Cara
401,-122.29,37.89,52.0,5.0551,60%-80%,0.4478723404255319,2.3170212765957445,0.19329660238751148,0.9952718676122931,2.2222222222222223,0,0,0,1,0,232200.0,287245.0,-55045.0,-19.16308377865585,Desconto muito alto
12393,-116.42,33.68,15.0,2.2208,20%-40%,0.8688888888888889,4.3277777777777775,0.20077021822849808,1.4782608695652173,1.7013232514177694,0,1,0,0,0,138300.0,133320.0,4980.0,3.7353735373537353,Cara
17496,-119.8,34.43,27.0,4.6957,60%-80%,0.30511363636363636,1.7857954545454546,0.17085587018771875,0.9421052631578948,3.087719298245614,0,0,0,0,1,271500.0,249695.0,21805.0,8.732653837681973,Cara
12624,-121.52,38.49,5.0,3.6196,20%-40%,0.5965697240865027,2.493661446681581,0.23923444976076555,1.1940298507462686,2.0014925373134327,0,1,0,0,0,152800.0,145235.0,7565.0,5.2087995317933,Cara
8688,-118.34,33.87,34.0,4.6406,60%-80%,0.3610648918469218,1.778702163061564,0.2029934518241347,1.0235849056603774,2.8349056603773586,1,0,0,0,0,255900.0,230075.0,25825.0,11.224600673693361,Cara
8001,-118.13,33.85,36.0,3.55,60%-80%,0.37273593898951385,1.7969494756911344,0.20742705570291778,0.9654320987654321,2.5901234567901232,1,0,0,0,0,212800.0,210750.0,2050.0,0.9727164887307236,Cara
372,-122.16,37.75,24.0,2.537,20%-40%,0.3992963940193492,1.5743183817062445,0.2536312849162011,1.1761658031088082,2.9455958549222796,0,0,0,1,0,107900.0,149465.0,-41565.0,-27.809186097079586,Desconto muito alto
7385,-118.24,33.97,37.0,2.5536,20%-40%,0.22380612972202424,0.8638631503920171,0.2590759075907591,1.125448028673835,5.028673835125448,1,0,0,0,0,117200.0,153955.0,-36755.0,-23.873859244584455,Desconto muito alto
12293,-116.9,33.98,30.0,3.6339,20%_cheaper,0.36923076923076925,2.151098901098901,0.17164750957854405,1.0451010886469674,2.8304821150855366,0,1,0,0,0,98600.0,122850.0,-24250.0,-19.73951973951974,Desconto muito alto
1412,-122.08,37.94,44.0,4.725,60%-80%,0.37857900318133614,2.317073170731707,0.16338672768878718,0.9754098360655737,2.5765027322404372,0,0,0,1,0,232100.0,292210.0,-60110.0,-20.57082235378666,Desconto muito alto
6054,-117.85,34.0,26.0,5.6513,60%-80%,0.2894168466522678,1.9524838012958963,0.14823008849557523,1.06631299734748,3.684350132625995,1,0,0,0,0,227900.0,256970.0,-29070.0,-11.312604584192707,Desconto bom
12710,-121.39,38.59,34.0,2.8,20%-40%,0.41563055062166965,2.044404973357016,0.20330147697654213,0.9322709163346613,2.243027888446215,0,1,0,0,0,113600.0,112130.0,1470.0,1.3109783287255863,Cara
1434,-122.03,37.98,44.0,3.4531,20%-40%,0.5060240963855421,2.5180722891566263,0.20095693779904306,1.1612903225806452,2.294930875576037,0,0,0,1,0,148900.0,270285.0,-121385.0,-44.91000240486894,Desconto muito alto
17463,-119.88,34.43,16.0,3.75,60%-80%,0.4409127954360228,1.797881010594947,0.24524025385312784,0.9765342960288809,2.2148014440433212,0,0,0,0,1,223100.0,236725.0,-13625.0,-5.755623613897983,Desconto ok
6904,-118.14,34.04,37.0,2.6146,60%-80%,0.4165029469548134,2.218074656188605,0.18777679362267494,1.0495049504950495,2.51980198019802,1,0,0,0,0,243200.0,195505.0,47695.0,24.395795503951305,Cara
6981,-118.0,33.97,30.0,6.0663,20%_expensive,0.3172215108834827,2.093469910371319,0.1515290519877676,1.0398740818467995,3.2780692549842603,1,0,0,0,0,372600.0,299780.0,72820.0,24.291146841016744,Cara
12821,-121.51,38.69,28.0,2.1029,20%-40%,0.33111111111111113,1.7777777777777777,0.18625,0.9430379746835443,2.848101265822785,0,1,0,0,0,108600.0,93250.0,15350.0,16.46112600536193,Cara
13050,-121.32,38.59,24.0,2.5035,20%-40%,0.4234527687296417,2.0372266170311772,0.20785746916400183,1.1206896551724137,2.646551724137931,0,1,0,0,0,123700.0,94255.0,29445.0,31.239722030661504,Cara
11736,-121.06,38.88,17.0,4.2917,40%-60%,0.41472868217054265,2.4660852713178296,0.1681728880157171,1.0464547677261613,2.5232273838630808,0,1,0,0,0,184300.0,186475.0,-2175.0,-1.16637618983778,Desconto baixo
16956,-122.3,37.53,38.0,5.3261,20%_expensive,0.3986013986013986,2.2937062937062938,0.17378048780487804,1.089171974522293,2.732484076433121,0,0,0,0,1,376800.0,329210.0,47590.0,14.455818474529936,Cara
19209,-122.71,38.46,42.0,2.314,40%-60%,0.44549763033175355,1.8649289099526067,0.2388818297331639,1.018970189701897,2.2872628726287263,1,0,0,0,0,169400.0,141650.0,27750.0,19.59054006353689,Cara
19621,-121.11,37.43,42.0,2.5,20%_cheaper,0.3303964757709251,1.8149779735682818,0.1820388349514563,1.0,3.026666666666667,0,1,0,0,0,74200.0,91510.0,-17310.0,-18.915965468254836,Desconto muito alto
18969,-122.02,38.26,20.0,3.2061,20%-40%,0.3471337579617834,1.7738853503184713,0.19569120287253142,0.9794608472400513,2.821566110397946,0,1,0,0,0,120400.0,107305.0,13095.0,12.203531988257769,Cara
6413,-118.03,34.11,34.0,6.5722,20%_expensive,0.34226190476190477,2.1108630952380953,0.16214310891787098,1.0043668122270741,2.9344978165938866,0,1,0,0,0,437400.0,252340.0,185060.0,73.33756043433462,Cara
12800,-121.46,38.61,43.0,2.4205,20%_cheaper,0.38362068965517243,1.519396551724138,0.2524822695035461,1.119496855345912,2.9182389937106916,0,1,0,0,0,60900.0,82940.0,-22040.0,-26.573426573426573,Desconto muito alto
17572,-121.92,37.32,39.0,3.5256,40%-60%,0.36079545454545453,1.1875,0.3038277511961722,0.9338235294117647,2.588235294117647,1,0,0,0,0,192600.0,177240.0,15360.0,8.66621530128639,Cara
16018,-122.47,37.73,52.0,5.9245,20%_expensive,0.29594017094017094,2.27991452991453,0.12980318650421743,0.9719298245614035,3.2842105263157895,0,0,0,0,1,484600.0,363990.0,120610.0,33.13552570125553,Cara
8825,-118.36,34.09,33.0,2.0205,60%-80%,0.6341463414634146,1.8769647696476965,0.33785734911926074,1.0317460317460319,1.626984126984127,1,0,0,0,0,243800.0,182230.0,61570.0,33.78697250727103,Cara
7895,-118.08,33.85,19.0,6.2427,60%-80%,0.25867989317054557,1.6257153758107592,0.15911757803332552,1.0257186081694403,3.9652042360060515,1,0,0,0,0,288700.0,254170.0,34530.0,13.585395601369163,Cara
11065,-117.88,33.79,32.0,5.1418,40%-60%,0.31788793103448276,1.5991379310344827,0.19878706199460916,1.0,3.145762711864407,1,0,0,0,0,190300.0,247855.0,-57555.0,-23.221238223961592,Desconto muito alto
13931,-117.36,34.28,18.0,4.2386,20%-40%,0.5151296829971181,2.811959654178674,0.18319241609018705,1.6705607476635513,3.2429906542056073,0,1,0,0,0,157200.0,170405.0,-13205.0,-7.749185763328541,Desconto ok
5232,-118.24,33.94,42.0,0.9705,20%_cheaper,0.25790754257907544,0.9245742092457421,0.2789473684210526,1.06,4.11,1,0,0,0,0,90000.0,113105.0,-23105.0,-20.427920958401486,Desconto muito alto
2504,-120.45,36.86,34.0,2.3523,20%_cheaper,0.3209647495361781,1.24860853432282,0.25705794947994054,0.9505494505494505,2.9615384615384617,0,1,0,0,0,66000.0,77655.0,-11655.0,-15.008692292833686,Desconto muito alto
5481,-118.45,33.99,52.0,3.1607,20%_expensive,0.6059050064184852,2.34788189987163,0.25806451612903225,1.1132075471698113,1.8372641509433962,1,0,0,0,0,339000.0,282170.0,56830.0,20.14034092922706,Cara
12129,-117.23,33.89,5.0,4.1953,20%-40%,0.30376906969787615,1.761142686209991,0.17248407643312103,1.0627943485086342,3.4986917844060703,0,1,0,0,0,136600.0,153820.0,-17220.0,-11.194903133532701,Desconto bom
11233,-117.96,33.82,32.0,3.7917,40%-60%,0.3674818241903503,1.8017184401850628,0.20396184886280264,1.0470809792843692,2.849340866290019,1,0,0,0,0,197400.0,227675.0,-30275.0,-13.297463489623368,Desconto bom
17983,-121.95,37.3,21.0,3.7188,20%_expensive,0.4294330518697226,1.685967028548452,0.2547102313379442,1.056379821958457,2.459940652818991,1,0,0,0,0,293000.0,212545.0,80455.0,37.853160507186715,Cara
5150,-118.27,33.96,34.0,1.6467,20%_cheaper,0.2548476454293629,0.9602954755309326,0.2653846153846154,1.0823529411764705,4.247058823529412,1,0,0,0,0,90900.0,116730.0,-25830.0,-22.12798766383963,Desconto muito alto
13340,-117.67,34.02,16.0,4.8906,40%-60%,0.34564643799472294,2.0065963060686016,0.1722550953320184,1.1031578947368421,3.191578947368421,0,1,0,0,0,178500.0,153625.0,24875.0,16.192026037428803,Cara
6080,-117.86,34.09,26.0,6.1498,60%-80%,0.32572115384615385,2.048076923076923,0.159037558685446,0.998158379373849,3.0644567219152856,1,0,0,0,0,239100.0,302070.0,-62970.0,-20.846161485748336,Desconto muito alto
7017,-118.09,33.98,39.0,3.6875,40%-60%,0.28075253256150506,1.3545586107091172,0.20726495726495728,0.919431279620853,3.2748815165876777,1,0,0,0,0,169500.0,175225.0,-5725.0,-3.2672278499072624,Desconto baixo
1513,-122.06,37.91,15.0,4.1612,60%-80%,0.6666666666666666,2.5283638068448195,0.2636751344335249,1.1040372670807452,1.656055900621118,0,0,0,1,0,232800.0,296150.0,-63350.0,-21.39118689853115,Desconto muito alto
10706,-117.72,33.61,26.0,2.49,20%_cheaper,0.8023255813953488,3.4276485788113695,0.23407463249151902,1.0633561643835616,1.3253424657534247,1,0,0,0,0,81100.0,124250.0,-43150.0,-34.72837022132797,Desconto muito alto
6483,-118.02,34.08,29.0,3.6944,40%-60%,0.2723560636994692,1.1192323397305022,0.24334184604159065,0.9852289512555391,3.617429837518464,0,1,0,0,0,175200.0,126005.0,49195.0,39.042101503908576,Cara
17474,-119.89,34.44,25.0,5.5184,60%-80%,0.28160575194727383,1.6692630317555421,0.16870064608758076,1.0173160173160174,3.6125541125541125,0,0,0,0,1,268300.0,285415.0,-17115.0,-5.99653136660652,Desconto ok
3189,-119.78,36.27,29.0,4.5714,20%_cheaper,0.2954971857410882,1.7551594746716699,0.16835916622127206,1.0194174757281553,3.4498381877022655,0,1,0,0,0,100800.0,178495.0,-77695.0,-43.52782991120199,Desconto muito alto
18424,-121.81,37.25,12.0,4.1926,60%-80%,0.48273026315789475,1.7023026315789473,0.28357487922705316,1.1033834586466165,2.2857142857142856,1,0,0,0,0,244500.0,249230.0,-4730.0,-1.8978453637202586,Desconto baixo
11754,-121.17,38.76,14.0,6.5322,20%_expensive,0.3265044814340589,2.596670934699104,0.1257396449704142,1.0159362549800797,3.1115537848605577,0,1,0,0,0,394000.0,274375.0,119625.0,43.59908883826879,Cara
2899,-119.01,35.37,35.0,1.9125,20%_cheaper,0.07337526205450734,0.25157232704402516,0.2916666666666667,0.8536585365853658,11.634146341463415,0,1,0,0,0,47500.0,87275.0,-39775.0,-45.574334001718704,Desconto muito alto
10201,-117.94,33.88,35.0,4.3333,60%-80%,0.43593519882179677,2.4948453608247423,0.17473435655253838,1.049645390070922,2.4078014184397163,1,0,0,0,0,239300.0,281035.0,-41735.0,-14.850463465404665,Desconto bom
3569,-118.58,34.22,35.0,4.875,60%-80%,0.3568421052631579,2.0726315789473686,0.17216861350939563,0.9970588235294118,2.7941176470588234,1,0,0,0,0,230400.0,240825.0,-10425.0,-4.328869511055746,Desconto baixo
626,-122.18,37.7,36.0,4.0268,40%-60%,0.44086021505376344,2.182795698924731,0.2019704433497537,1.0269749518304432,2.3294797687861273,0,0,0,1,0,205500.0,279120.0,-73620.0,-26.375752364574378,Desconto muito alto
15099,-116.95,32.81,15.0,2.543,20%_cheaper,0.39590218109715797,1.730998017184402,0.22871324933180603,1.1154562383612663,2.817504655493482,1,0,0,0,0,100000.0,164950.0,-64950.0,-39.37556835404668,Desconto muito alto
14408,-117.25,32.76,38.0,4.9125,20%_expensive,0.5897129186602871,2.7882775119617227,0.21149721149721148,1.138568129330254,1.930715935334873,0,0,0,0,1,452600.0,323650.0,128950.0,39.842422369843966,Cara
10305,-117.78,33.88,16.0,6.6678,20%_expensive,0.27324913892078073,2.0665901262916186,0.1322222222222222,1.017094017094017,3.7222222222222223,1,0,0,0,0,301900.0,309895.0,-7995.0,-2.57990609722648,Desconto baixo
18232,-122.11,37.41,27.0,3.4198,20%_expensive,0.5785094066570188,1.8487698986975398,0.31291585127201565,1.0789473684210527,1.8650472334682862,0,0,0,1,0,351900.0,285315.0,66585.0,23.337363966142686,Cara
8245,-118.19,33.78,31.0,1.5844,40%-60%,0.5389755011135857,1.8351893095768375,0.2936893203883495,1.0590809628008753,1.9649890590809629,0,0,0,0,1,162500.0,138675.0,23825.0,17.180457905173967,Cara
7291,-118.22,33.98,18.0,1.2059,60%-80%,0.3998954521693675,0.9309984317825405,0.4295339696799551,1.0897435897435896,2.725071225071225,1,0,0,0,0,255000.0,140360.0,114640.0,81.67569108007979,Cara
1492,-122.02,37.94,23.0,4.2569,60%-80%,0.45119453924914676,2.4,0.18799772468714449,1.0609951845906902,2.351524879614767,0,0,0,1,0,213100.0,266345.0,-53245.0,-19.990989130638834,Desconto muito alto
7887,-118.04,33.87,17.0,6.299,60%-80%,0.28550829127613553,1.7000720980533526,0.16793893129770993,1.0879120879120878,3.8104395604395602,1,0,0,0,0,285800.0,268045.0,17755.0,6.6238877800369345,Cara
7911,-118.07,33.89,32.0,3.5562,20%-40%,0.22989874925550924,1.0833829660512209,0.21220450797141285,1.0722222222222222,4.663888888888889,1,0,0,0,0,146000.0,160035.0,-14035.0,-8.769956571999876,Desconto ok
19770,-122.12,39.91,16.0,2.3929,20%_cheaper,0.39299802761341224,1.97534516765286,0.19895157264103844,1.059840425531915,2.6968085106382977,0,1,0,0,0,77200.0,92010.0,-14810.0,-16.096076513422457,Desconto muito alto
1153,-121.46,39.54,14.0,2.9562,20%-40%,0.5488474204171241,3.045554335894621,0.18021265092809516,1.088139281828074,1.9825897714907508,0,1,0,0,0,142300.0,121110.0,21190.0,17.496490793493518,Cara
1896,-120.02,38.92,24.0,3.2396,20%_cheaper,0.5942028985507246,2.8840579710144927,0.20603015075376885,1.6291390728476822,2.7417218543046356,0,1,0,0,0,101900.0,129675.0,-27775.0,-21.418931945247735,Desconto muito alto
3450,-118.43,34.33,18.0,5.901,60%-80%,0.3192227619708536,2.044066620402498,0.15617042946868104,1.0098792535675083,3.163556531284303,1,0,0,0,0,235600.0,281875.0,-46275.0,-16.416851441241683,Desconto muito alto
3684,-118.37,34.21,36.0,3.1563,40%-60%,0.2760372565622354,1.178662150719729,0.23419540229885058,1.0759075907590758,3.897689768976898,1,0,0,0,0,176400.0,158410.0,17990.0,11.356606274856386,Cara
7928,-118.08,33.85,22.0,6.0,40%-60%,0.2991202346041056,1.5469208211143695,0.1933649289099526,0.9444444444444444,3.1574074074074074,1,0,0,0,0,191300.0,260170.0,-68870.0,-26.47115347657301,Desconto muito alto
20260,-119.18,34.21,30.0,3.8625,60%-80%,0.3117408906882591,1.4790823211875843,0.21076642335766424,1.0087336244541485,3.2358078602620086,0,0,0,0,1,234700.0,199565.0,35135.0,17.605792598902614,Cara
7465,-118.2,33.93,40.0,3.4402,20%-40%,0.23426966292134832,1.0837078651685392,0.2161741835147745,0.9952267303102625,4.248210023866348,1,0,0,0,0,149400.0,163335.0,-13935.0,-8.531545596473505,Desconto ok
12084,-117.33,33.9,2.0,5.1512,40%-60%,0.3973252804141501,2.768981880931838,0.14349146996961906,1.2677219545767378,3.1906400550584997,0,1,0,0,0,187800.0,203025.0,-15225.0,-7.499076468415219,Desconto ok
4365,-118.26,34.1,52.0,4.0721,20%_expensive,0.38171262699564584,1.9013062409288823,0.20076335877862594,1.2644230769230769,3.3125,1,0,0,0,0,350000.0,239840.0,110160.0,45.93062041360908,Cara
14223,-117.03,32.67,15.0,5.3505,60%-80%,0.3862134088762984,2.405099150141643,0.16058107577542208,1.079155672823219,2.7941952506596306,0,0,0,0,1,266600.0,318455.0,-51855.0,-16.28330533356361,Desconto muito alto
17669,-121.86,37.31,24.0,2.2259,20%-40%,0.3606194690265487,1.0724557522123894,0.33625580195977306,1.0432,2.8928,1,0,0,0,0,112500.0,160575.0,-48075.0,-29.939280709948623,Desconto muito alto
17968,-121.99,37.31,26.0,5.7833,20%_expensive,0.34788634788634787,2.2765072765072767,0.1528158295281583,0.9471698113207547,2.7226415094339624,1,0,0,0,0,339600.0,315605.0,23995.0,7.60285800288335,Cara
18159,-122.03,37.36,28.0,6.4913,20%_expensive,0.3639240506329114,2.6265822784810124,0.13855421686746988,0.9556786703601108,2.6260387811634347,1,0,0,0,0,411900.0,340565.0,71335.0,20.946074904937383,Cara
1379,-122.07,38.0,37.0,3.625,20%-40%,0.43722943722943725,2.116883116883117,0.2065439672801636,1.0978260869565217,2.510869565217391,0,0,0,1,0,156300.0,249220.0,-92920.0,-37.284327100553725,Desconto muito alto
17037,-122.25,37.49,43.0,4.224,20%_expensive,0.3893877551020408,2.1281632653061227,0.18296892980437285,1.03470715835141,2.6572668112798263,0,0,0,0,1,349600.0,272745.0,76855.0,28.1783350748868,Cara
17589,-121.91,37.31,28.0,3.6429,20%_expensive,0.5450268817204301,2.086021505376344,0.2612757731958763,1.0755968169761274,1.973474801061008,1,0,0,0,0,332600.0,275680.0,56920.0,20.647127103888565,Cara
9492,-123.2,39.23,26.0,2.3583,20%_cheaper,0.340080971659919,1.591093117408907,0.21374045801526717,1.0434782608695652,3.0683229813664594,1,0,0,0,0,105400.0,169910.0,-64510.0,-37.96715908422106,Desconto muito alto
17611,-121.92,37.29,35.0,7.6659,20%_expensive,0.38375,2.73625,0.14024668798538145,0.959375,2.5,1,0,0,0,0,426900.0,387925.0,38975.0,10.047045176258298,Cara
2821,-119.03,35.4,35.0,2.1818,20%_cheaper,0.3959131545338442,1.665389527458493,0.23773006134969324,1.0634648370497428,2.686106346483705,0,1,0,0,0,63500.0,97345.0,-33845.0,-34.76809286558118,Desconto muito alto
19895,-119.21,36.3,23.0,1.7734,20%_cheaper,0.29156327543424315,1.1799007444168734,0.24710830704521555,1.0585585585585586,3.630630630630631,0,1,0,0,0,41400.0,59790.0,-18390.0,-30.75765178123432,Desconto muito alto
3564,-118.56,34.23,36.0,4.6944,60%-80%,0.34782608695652173,1.9371980676328502,0.17955112219451372,0.9515418502202643,2.73568281938326,1,0,0,0,0,221800.0,220235.0,1565.0,0.7106045814697936,Cara
1298,-121.82,38.01,47.0,2.6364,20%_cheaper,0.43270868824531517,2.1550255536626914,0.2007905138339921,1.0283400809716599,2.376518218623482,0,1,0,0,0,93500.0,106795.0,-13295.0,-12.449084694976357,Desconto bom
8399,-118.37,33.95,32.0,2.8438,40%-60%,0.2716049382716049,1.01329534662868,0.26804123711340205,1.032490974729242,3.8014440433212995,1,0,0,0,0,181700.0,160255.0,21445.0,13.381797759820286,Cara
13045,-121.24,38.63,4.0,7.2582,60%-80%,0.4057557687321753,2.8574021260046667,0.14200163324562198,1.0475234270414993,2.5816599732262384,0,1,0,0,0,273200.0,264295.0,8905.0,3.3693410772053953,Cara
2455,-119.73,36.56,32.0,3.0469,20%_cheaper,0.26204238921001927,1.4576107899807322,0.1797752808988764,1.0,3.8161764705882355,0,1,0,0,0,82700.0,92735.0,-10035.0,-10.821157060441042,Desconto bom
4336,-118.3,34.08,36.0,2.1766,40%-60%,0.3348868175765646,0.8495339547270306,0.3942006269592476,1.1177777777777778,3.3377777777777777,1,0,0,0,0,205600.0,177755.0,27845.0,15.664819555005485,Cara
5128,-118.28,33.98,43.0,1.575,20%_cheaper,0.28363636363636363,1.1272727272727272,0.25161290322580643,1.0032154340836013,3.536977491961415,1,0,0,0,0,97500.0,115185.0,-17685.0,-15.353561661674696,Desconto muito alto
893,-121.95,37.54,29.0,4.6641,60%-80%,0.37412993039443154,2.0400232018561484,0.1833949388683537,1.1025641025641026,2.947008547008547,1,0,0,0,0,248900.0,232080.0,16820.0,7.247500861771802,Cara
6305,-117.88,34.0,32.0,3.9375,40%-60%,0.3,1.5588235294117647,0.19245283018867926,1.02,3.4,1,0,0,0,0,187500.0,192920.0,-5420.0,-2.809454696247149,Desconto baixo
10064,-121.03,39.37,15.0,2.6341,20%_cheaper,0.2781569965870307,1.1407849829351535,0.243829468960359,1.065359477124183,3.8300653594771243,0,1,0,0,0,85000.0,112040.0,-27040.0,-24.134237772224207,Desconto muito alto
15013,-117.05,32.76,37.0,3.6625,20%-40%,0.43641618497109824,2.3501926782273603,0.18569378971100636,1.0401836969001148,2.383467278989667,0,0,0,0,1,154800.0,226855.0,-72055.0,-31.762579621344027,Desconto muito alto
19073,-122.49,38.31,27.0,3.25,40%-60%,0.4231041814316088,2.1814316087880936,0.19395711500974658,1.0187713310580204,2.407849829351536,1,0,0,0,0,195500.0,230715.0,-35215.0,-15.263420237089049,Desconto muito alto
14243,-117.1,32.69,11.0,1.2413,20%_cheaper,0.3239687055476529,1.0921052631578947,0.29664604363399544,1.177002583979328,3.6330749354005167,0,0,0,0,1,83100.0,131890.0,-48790.0,-36.992948669345665,Desconto muito alto
9162,-118.48,34.42,21.0,5.0166,60%-80%,0.3557692307692308,1.8887362637362637,0.18836363636363637,1.003875968992248,2.8217054263565893,1,0,0,0,0,229000.0,250580.0,-21580.0,-8.612020113337058,Desconto ok
11367,-117.95,33.74,21.0,5.9838,60%-80%,0.3001083423618635,1.9371614301191766,0.15492170022371365,1.029739776951673,3.4312267657992566,1,0,0,0,0,271900.0,272745.0,-845.0,-0.3098131954756274,Desconto baixo
6948,-118.08,33.99,36.0,2.8152,40%-60%,0.29092702169625245,0.9980276134122288,0.29150197628458496,1.0296684118673647,3.5392670157068062,1,0,0,0,0,163900.0,163560.0,340.0,0.2078747860112497,Cara
6277,-117.94,34.02,27.0,3.871,40%-60%,0.2449345986150295,1.289048473967684,0.19001193792280144,1.0268817204301075,4.19247311827957,1,0,0,0,0,162900.0,195410.0,-32510.0,-16.63681490200092,Desconto muito alto
236,-122.2,37.79,49.0,2.6667,20%-40%,0.2645861601085482,1.1967435549525103,0.22108843537414966,0.9285714285714286,3.5095238095238095,0,0,0,1,0,122000.0,142195.0,-20195.0,-14.202327789303421,Desconto bom
8272,-118.16,33.77,38.0,2.9384,20%_expensive,0.5989096573208723,2.519470404984424,0.23771251931993817,1.0226063829787233,1.7074468085106382,0,0,0,0,1,304100.0,198185.0,105915.0,53.442490602215095,Cara
1696,-122.27,38.0,12.0,6.1576,60%-80%,0.24974200206398348,1.6429308565531475,0.15201005025125627,1.03862660944206,4.1587982832618025,0,0,0,1,0,248700.0,254185.0,-5485.0,-2.157877136731121,Desconto baixo
832,-122.02,37.6,31.0,2.652,40%-60%,0.28094725511302476,1.159849300322928,0.24222737819025522,1.194508009153318,4.251716247139588,0,0,0,1,0,159800.0,159550.0,250.0,0.15669069257286117,Cara
