,valor_real,latitude,longitude,valor_previsto,diferenca,porcentagem,categoria_desconto
128,83800.0,34.13,-117.27,96870.0,-13070.0,-13.492309280478992,Desconto bom
129,98800.0,37.33,-120.46,111155.0,-12355.0,-11.115109531734966,Desconto bom
133,155600.0,34.13,-117.88,191174.99999999997,-35574.99999999997,-18.608604681574462,Desconto muito alto
134,93600.0,40.31,-121.24,130064.99999999997,-36464.99999999997,-28.035982008995486,Desconto muito alto
135,121300.00000000001,34.09,-117.64,132615.0,-11314.999999999985,-8.532217320815885,Desconto ok
136,129300.0,34.02,-117.31,165655.00000000003,-36355.00000000003,-21.94621351604239,Desconto muito alto
139,58000.0,36.38,-119.21,73400.0,-15400.0,-20.98092643051771,Desconto muito alto
141,72300.0,34.12,-117.24,92620.0,-20320.0,-21.939106024616713,Desconto muito alto
142,125400.0,34.03,-118.35,141335.0,-15935.0,-11.274631195386847,Desconto bom
143,153600.0,33.86,-118.19,184245.00000000003,-30645.00000000003,-16.632744443539867,Desconto muito alto
145,241100.0,38.37,-121.13,295690.0,-54590.0,-18.46190266833508,Desconto muito alto
148,302100.0,32.81,-117.21,343645.0,-41545.0,-12.089510977898705,Desconto bom
149,71700.0,40.75,-122.79,97319.99999999999,-25619.999999999985,-26.32552404438963,Desconto muito alto
150,207000.0,32.81,-117.19,295530.0,-88530.0,-29.956349609176737,Desconto muito alto
152,236200.0,37.65,-122.47,250180.0,-13980.0,-5.587976656807099,Desconto ok
153,194600.0,33.84,-118.08,211270.00000000003,-16670.00000000003,-7.890377242391265,Desconto ok
156,204000.0,32.82,-117.19,339635.00000000006,-135635.00000000006,-39.93551901305815,Desconto muito alto
158,131700.0,38.67,-121.24,151030.00000000003,-19330.00000000003,-12.798781699000216,Desconto bom
159,272200.0,37.68,-122.4,291325.0,-19125.0,-6.564833090191367,Desconto ok
160,54300.0,35.65,-117.81,88770.0,-34470.0,-38.83068604258195,Desconto muito alto
161,87500.0,33.74,-117.93,170590.0,-83090.0,-48.70742716454657,Desconto muito alto
162,110400.0,37.74,-121.43,131155.00000000003,-20755.00000000003,-15.824787465212934,Desconto muito alto
163,90000.0,38.09,-122.23,142044.99999999997,-52044.99999999997,-36.63979724735118,Desconto muito alto
166,185300.0,32.74,-117.13,269939.99999999994,-84639.99999999994,-31.35511595169295,Desconto muito alto
167,113300.0,33.93,-117.43,150435.0,-37135.0,-24.685079934855587,Desconto muito alto
169,71900.0,39.5,-122.53,92669.99999999999,-20769.999999999985,-22.412862846660182,Desconto muito alto
172,86200.0,32.78,-115.56,168690.00000000003,-82490.00000000003,-48.90034975398661,Desconto muito alto
174,53900.0,36.05,-119.12,67180.0,-13280.0,-19.767788032152424,Desconto muito alto
178,92700.0,38.54,-121.43,108230.0,-15530.0,-14.349071421971725,Desconto bom
179,141300.0,33.92,-117.95,242725.0,-101425.0,-41.78597177876197,Desconto muito alto
180,136800.0,33.94,-117.38,158814.99999999997,-22014.99999999997,-13.862040739224868,Desconto bom
183,148900.0,37.48,-122.14,197055.0,-48155.0,-24.437339828981756,Desconto muito alto
190,98500.0,33.23,-117.3,164839.99999999997,-66339.99999999997,-40.24508614413976,Desconto muito alto
191,79900.0,34.53,-117.31,109780.0,-29880.0,-27.218072508653673,Desconto muito alto
192,222700.0,37.77,-122.43,255409.99999999997,-32709.99999999997,-12.806859559140197,Desconto bom
193,165300.0,34.12,-117.88,176200.0,-10900.0,-6.186152099886493,Desconto ok
195,236400.0,33.63,-117.92,308140.00000000006,-71740.00000000006,-23.281625235282675,Desconto muito alto
197,311500.0,37.84,-122.2,348800.00000000006,-37300.00000000006,-10.693807339449556,Desconto bom
198,168700.0,32.83,-116.95,204624.99999999997,-35924.99999999997,-17.556505803298705,Desconto muito alto
199,92100.0,38.02,-121.31,111830.0,-19730.0,-17.642850755611196,Desconto muito alto
200,223200.0,34.26,-119.2,267050.0,-43850.0,-16.420146040067404,Desconto muito alto
203,130600.0,32.75,-117.13,178470.00000000003,-47870.00000000003,-26.82243514316133,Desconto muito alto
204,85100.0,40.6,-124.16,164150.00000000003,-79050.00000000003,-48.15717331708804,Desconto muito alto
206,189000.0,34.16,-119.19,199295.00000000003,-10295.00000000003,-5.165709124664456,Desconto ok
211,101100.0,38.57,-121.32,136000.0,-34900.0,-25.66176470588235,Desconto muito alto
212,96200.0,39.15,-123.2,116894.99999999999,-20694.999999999985,-17.703922323452662,Desconto muito alto
213,14999.0,39.71,-122.74,92270.00000000001,-77271.00000000001,-83.74444564863987,Desconto muito alto
214,132500.0,38.49,-123.04,249179.99999999994,-116679.99999999994,-46.825587928405156,Desconto muito alto
215,75600.0,37.31,-120.48,83225.0,-7625.0,-9.161910483628716,Desconto ok
216,40900.0,36.13,-119.13,61924.99999999999,-21024.999999999993,-33.952361727896644,Desconto muito alto
218,186800.0,34.22,-118.39,203705.0,-16905.0,-8.29876537149309,Desconto ok
220,160100.0,32.95,-117.02,202970.0,-42870.0,-21.121347982460463,Desconto muito alto
222,189900.0,37.96,-121.35,233009.99999999997,-43109.99999999997,-18.50135187331015,Desconto muito alto
224,188600.0,37.61,-122.03,230489.99999999997,-41889.99999999997,-18.174324265694814,Desconto muito alto
228,60000.0,35.38,-119.02,110050.0,-50050.0,-45.47932757837347,Desconto muito alto
229,92200.0,40.66,-122.43,99380.00000000001,-7180.000000000015,-7.224793721070652,Desconto ok
230,173200.0,38.0,-122.29,229649.99999999997,-56449.99999999997,-24.580883953842793,Desconto muito alto
232,120300.0,32.73,-117.09,188090.0,-67790.0,-36.041256845127336,Desconto muito alto
233,42700.0,35.36,-118.98,62730.00000000001,-20030.000000000007,-31.930495775545996,Desconto muito alto
236,70200.0,36.35,-119.64,104870.0,-34670.0,-33.059979021645844,Desconto muito alto
237,202700.0,33.9,-118.13,227330.00000000003,-24630.00000000003,-10.834469713632176,Desconto bom
238,112500.0,37.78,-122.23,124340.0,-11840.0,-9.522277625864566,Desconto ok
242,254400.0,33.81,-118.09,351185.0,-96785.0,-27.55954838617822,Desconto muito alto
245,173900.0,33.26,-117.26,191015.0,-17115.0,-8.96002931706934,Desconto ok
248,150000.0,37.66,-122.11,214809.99999999994,-64809.99999999994,-30.170848656952636,Desconto muito alto
249,284100.0,33.45,-117.64,320170.00000000006,-36070.00000000006,-11.265889995939673,Desconto bom
250,215800.0,33.84,-118.12,250905.00000000006,-35105.00000000006,-13.991351308264106,Desconto bom
251,76200.0,35.36,-118.94,101970.0,-25770.0,-25.272138864371875,Desconto muito alto
259,84700.0,39.16,-121.57,114365.0,-29665.0,-25.938879902067942,Desconto muito alto
260,227100.0,34.28,-118.48,254780.00000000003,-27680.00000000003,-10.86427506083681,Desconto bom
261,185000.0,37.95,-122.32,250129.99999999997,-65129.99999999997,-26.038460000799574,Desconto muito alto
264,124199.99999999999,32.78,-117.12,300949.99999999994,-176749.99999999994,-58.730686160491764,Desconto muito alto
265,98500.0,33.95,-118.27,147100.0,-48600.0,-33.03874915023793,Desconto muito alto
266,135600.0,38.68,-121.25,165880.00000000003,-30280.00000000003,-18.254159633469992,Desconto muito alto
269,92800.0,33.91,-118.26,182550.00000000003,-89750.00000000003,-49.16461243494934,Desconto muito alto
270,53400.0,39.09,-121.55,58184.99999999999,-4784.999999999993,-8.223769012632111,Desconto ok
274,173400.0,37.32,-121.86,188100.0,-14700.0,-7.814992025518341,Desconto ok
277,204500.0,34.14,-118.27,232814.99999999994,-28314.99999999994,-12.16201705216586,Desconto bom
278,189800.0,34.21,-118.56,246964.99999999997,-57164.99999999997,-23.147004636284485,Desconto muito alto
282,176500.0,34.23,-118.43,187675.00000000003,-11175.00000000003,-5.954442520314388,Desconto ok
283,102400.0,39.15,-121.66,108944.99999999999,-6544.999999999985,-6.007618523107978,Desconto ok
285,133900.0,34.08,-118.21,180990.00000000003,-47090.00000000003,-26.01801204486437,Desconto muito alto
286,204200.0,32.87,-117.23,259020.0,-54820.0,-21.16438885028183,Desconto muito alto
288,268200.0,34.28,-119.18,300880.0,-32680.0,-10.861473012496676,Desconto bom
290,106300.0,33.77,-118.2,127070.0,-20770.0,-16.345321476351618,Desconto muito alto
292,171900.0,38.79,-123.03,193005.0,-21105.0,-10.93494987176498,Desconto bom
294,289300.0,37.39,-122.07,342380.0,-53080.0,-15.503242011799756,Desconto muito alto
298,136400.0,38.02,-121.33,201010.0,-64610.0,-32.14267946868315,Desconto muito alto
300,119000.0,37.65,-121.0,128909.99999999999,-9909.999999999985,-7.687533938406629,Desconto ok
305,145000.0,34.03,-118.16,153910.0,-8910.0,-5.789097524527321,Desconto ok
308,116700.0,33.98,-118.25,132345.0,-15645.0,-11.82137594922362,Desconto bom
314,63400.0,36.62,-119.5,70205.00000000001,-6805.000000000015,-9.693041806139183,Desconto ok
315,191900.0,34.26,-118.3,236380.00000000003,-44480.00000000003,-18.817158812082248,Desconto muito alto
317,121400.00000000001,38.76,-120.02,158544.99999999994,-37144.99999999993,-23.428679554700523,Desconto muito alto
318,108200.0,34.0,-118.24,113950.00000000001,-5750.000000000015,-5.04607283896447,Desconto ok
322,184100.0,38.36,-122.68,216290.00000000003,-32190.00000000003,-14.882796245781138,Desconto bom
325,58000.0,36.62,-119.65,65855.0,-7855.0,-11.927719990889074,Desconto bom
326,118700.0,33.94,-117.44,165415.0,-46715.0,-28.241090590333407,Desconto muito alto
328,81800.0,37.76,-122.19,120669.99999999999,-38869.999999999985,-32.21181735311178,Desconto muito alto
330,67000.0,40.78,-124.18,131260.0,-64260.0,-48.9562699984763,Desconto muito alto
333,105500.0,37.79,-122.24,131530.00000000003,-26030.00000000003,-19.790161940241788,Desconto muito alto
336,177500.0,37.73,-122.17,244645.00000000006,-67145.00000000006,-27.445890984896497,Desconto muito alto
337,143500.0,33.92,-117.16,160785.00000000003,-17285.00000000003,-10.750380943495989,Desconto bom
341,102300.0,39.07,-122.91,115469.99999999999,-13169.999999999985,-11.405559885684582,Desconto bom
342,161800.0,36.62,-121.83,175380.0,-13580.0,-7.743186224198882,Desconto ok
343,52500.0,34.22,-119.09,185460.00000000003,-132960.00000000003,-71.6920090585571,Desconto muito alto
345,198100.0,37.67,-122.15,276780.0,-78680.0,-28.426909458775924,Desconto muito alto
346,171000.0,38.67,-121.2,198405.0,-27405.0,-13.812655931050125,Desconto bom
348,126500.0,38.01,-122.12,240335.00000000003,-113835.00000000003,-47.36513616410428,Desconto muito alto
350,137500.0,33.98,-118.05,156400.0,-18900.0,-12.084398976982097,Desconto bom
351,193200.0,33.15,-117.13,221614.99999999997,-28414.99999999997,-12.821785528957866,Desconto bom
352,178800.0,33.78,-117.86,200455.0,-21655.0,-10.80292334938016,Desconto bom
353,81300.0,35.36,-119.03,120934.99999999999,-39634.999999999985,-32.773804109645674,Desconto muito alto
354,138500.0,34.13,-117.91,147370.00000000003,-8870.00000000003,-6.018864083599123,Desconto ok
359,54300.0,33.76,-118.08,133975.00000000003,-79675.00000000003,-59.47005038253407,Desconto muito alto
363,87200.0,39.04,-121.41,119420.00000000001,-32220.000000000015,-26.980405292245862,Desconto muito alto
364,175300.0,32.8,-117.13,233009.99999999997,-57709.99999999997,-24.76717737436161,Desconto muito alto
365,44700.0,34.83,-116.96,81800.00000000001,-37100.000000000015,-45.35452322738387,Desconto muito alto
366,91400.0,33.96,-118.28,115900.0,-24500.0,-21.138912855910267,Desconto muito alto
368,133900.0,40.8,-124.02,242270.0,-108370.0,-44.73108515292855,Desconto muito alto
369,180300.0,37.15,-122.13,265760.0,-85460.0,-32.15683323299217,Desconto muito alto
371,112000.0,39.29,-121.32,118380.0,-6380.0,-5.389423889170468,Desconto ok
372,107900.0,37.79,-122.23,174930.0,-67030.0,-38.318184416623794,Desconto muito alto
373,178400.0,37.69,-122.14,239279.99999999997,-60879.99999999997,-25.44299565362754,Desconto muito alto
376,54200.0,37.96,-121.27,86700.0,-32500.0,-37.48558246828143,Desconto muito alto
380,124800.0,39.33,-120.1,161484.99999999997,-36684.99999999997,-22.71728024274699,Desconto muito alto
381,125000.0,34.17,-119.08,401885.0,-276885.0,-68.89657489082698,Desconto muito alto
382,197900.0,33.65,-117.98,260504.99999999997,-62604.99999999997,-24.032168288516527,Desconto muito alto
385,178100.0,32.8,-117.08,187990.00000000003,-9890.00000000003,-5.26091813394331,Desconto ok
386,63200.0,40.18,-122.21,84070.00000000001,-20870.000000000015,-24.824550969430252,Desconto muito alto
387,48900.0,35.37,-118.97,56340.0,-7440.0,-13.205537806176784,Desconto bom
389,277200.0,34.24,-118.63,322440.0,-45240.0,-14.030517305545217,Desconto bom
390,266700.0,33.83,-117.88,328550.0,-61850.0,-18.82514077005022,Desconto muito alto
393,143300.0,32.72,-116.99,211670.0,-68370.0,-32.30027873576794,Desconto muito alto
394,75000.0,37.77,-120.85,85405.00000000001,-10405.000000000015,-12.183127451554373,Desconto bom
396,287300.0,37.81,-122.24,303785.0000000001,-16485.000000000116,-5.426535214049446,Desconto ok
398,97200.0,32.78,-115.57,210515.00000000003,-113315.00000000003,-53.82751822910482,Desconto muito alto
400,101600.0,34.0,-117.34,108815.0,-7215.0,-6.630519689381059,Desconto ok
402,112600.0,34.0,-118.32,134080.0,-21480.0,-16.020286396181387,Desconto muito alto
408,183900.0,33.85,-117.93,245199.99999999997,-61299.99999999997,-24.999999999999993,Desconto muito alto
409,229300.0,33.03,-117.08,268610.0,-39310.0,-14.634600349949741,Desconto bom
410,76100.0,33.86,-116.08,102340.0,-26240.0,-25.64002345124096,Desconto muito alto
412,50800.0,36.2,-119.35,72835.0,-22035.0,-30.253312281183497,Desconto muito alto
416,172000.0,33.23,-117.23,182030.0,-10030.0,-5.510080755919354,Desconto ok
418,241200.0,33.83,-117.88,290324.99999999994,-49124.99999999994,-16.92069232756392,Desconto muito alto
420,57700.0,34.12,-116.0,89275.0,-31575.0,-35.368244189302715,Desconto muito alto
424,192900.0,32.98,-117.04,273655.0,-80755.0,-29.509784217353968,Desconto muito alto
425,50800.0,36.73,-119.74,70955.00000000001,-20155.000000000015,-28.405327320132496,Desconto muito alto
427,152500.0,34.96,-120.41,255905.0,-103405.0,-40.40757312283855,Desconto muito alto
428,94600.0,32.6,-117.06,203044.99999999997,-108444.99999999997,-53.4093427565318,Desconto muito alto
429,153000.0,38.29,-122.27,187644.99999999997,-34644.99999999997,-18.463055237283154,Desconto muito alto
430,240800.0,38.58,-122.72,256449.99999999997,-15649.99999999997,-6.102554104113852,Desconto ok
432,75000.0,34.52,-116.73,97925.0,-22925.0,-23.410773551187134,Desconto muito alto
435,43300.0,33.24,-115.51,82950.0,-39650.0,-47.799879445449065,Desconto muito alto
436,243800.00000000003,36.62,-121.91,281974.99999999994,-38174.99999999991,-13.538434258356208,Desconto bom
437,67500.0,38.01,-122.53,301960.0,-234460.0,-77.64604583388528,Desconto muito alto
438,241900.0,37.3,-121.79,256835.0,-14935.0,-5.815017423637744,Desconto ok
439,132200.0,36.81,-119.79,168990.0,-36790.0,-21.770518965619267,Desconto muito alto
441,181400.0,34.21,-118.35,193700.0,-12300.0,-6.350025813113061,Desconto ok
442,297300.0,37.98,-122.11,316085.0,-18785.0,-5.943021655567331,Desconto ok
444,165000.0,37.72,-122.17,184335.0,-19335.0,-10.489055252664985,Desconto bom
445,160600.0,33.97,-117.29,171290.00000000003,-10690.00000000003,-6.240878043084843,Desconto ok
447,102900.0,32.73,-117.1,119910.0,-17010.0,-14.185639229422067,Desconto bom
452,248699.99999999997,37.26,-121.95,323675.0,-74975.00000000003,-23.163667258824447,Desconto muito alto
453,75000.0,38.27,-122.66,119964.99999999999,-44964.999999999985,-37.48176551494185,Desconto muito alto
458,47500.0,36.73,-119.79,89090.0,-41590.0,-46.68312941968796,Desconto muito alto
459,115900.0,33.79,-118.17,126475.00000000001,-10575.000000000015,-8.361336232457017,Desconto ok
462,132600.0,38.35,-121.98,150685.0,-18085.0,-12.001858180973555,Desconto bom
463,69600.0,34.06,-116.56,102690.0,-33090.0,-32.22319602687701,Desconto muito alto
464,121400.00000000001,36.9,-121.76,151930.0,-30529.999999999985,-20.09478049101559,Desconto muito alto
466,127400.0,34.08,-117.43,155270.0,-27870.0,-17.94937850196432,Desconto muito alto
469,291900.0,37.68,-121.92,325865.0,-33965.0,-10.42302794101852,Desconto bom
470,94200.0,36.44,-119.57,109855.0,-15655.0,-14.250603067680123,Desconto bom
474,217500.0,33.77,-118.01,254189.9999999999,-36689.99999999991,-14.434084739761566,Desconto bom
477,152100.0,33.87,-118.19,227244.99999999994,-75144.99999999994,-33.06783427578163,Desconto muito alto
484,283800.0,32.81,-117.21,352910.0,-69110.0,-19.582896489189878,Desconto muito alto
486,240700.0,37.68,-122.05,267540.00000000006,-26840.00000000006,-10.032144726022295,Desconto bom
488,140400.0,33.96,-118.31,190580.0,-50180.0,-26.330150068212827,Desconto muito alto
495,165100.0,33.8,-118.22,179264.99999999997,-14164.99999999997,-7.901709759294883,Desconto ok
499,83500.0,37.36,-120.62,121604.99999999997,-38104.99999999997,-31.335060236010015,Desconto muito alto
501,127600.0,32.57,-117.05,191810.0,-64210.0,-33.475835462176114,Desconto muito alto
502,150000.0,33.82,-117.83,185105.0,-35105.0,-18.96491180681235,Desconto muito alto
505,53400.0,36.75,-119.76,71650.0,-18250.0,-25.471039776692255,Desconto muito alto
506,54600.0,35.26,-118.9,64890.0,-10290.0,-15.857605177993527,Desconto muito alto
507,102300.0,37.78,-122.22,118240.00000000001,-15940.000000000015,-13.4810554803789,Desconto bom
509,72700.0,38.67,-121.37,98699.99999999999,-25999.999999999985,-26.342451874366756,Desconto muito alto
510,252600.0,33.88,-117.79,316579.99999999994,-63979.99999999994,-20.209741613494206,Desconto muito alto
511,179200.0,38.45,-122.74,235985.0,-56785.0,-24.062970104032036,Desconto muito alto
512,181600.0,32.63,-117.04,295819.99999999994,-114219.99999999994,-38.61131769319179,Desconto muito alto
513,138100.0,34.08,-117.17,152885.0,-14785.0,-9.670667495176112,Desconto ok
514,214000.0,33.94,-117.99,244184.99999999994,-30184.99999999994,-12.36152916845832,Desconto bom
516,98500.0,33.13,-117.05,180820.0,-82320.0,-45.525937396305714,Desconto muito alto
520,120800.0,33.91,-118.26,181770.00000000003,-60970.00000000003,-33.54238873301426,Desconto muito alto
522,122199.99999999999,34.15,-117.28,142195.0,-19995.000000000015,-14.061675867646553,Desconto bom
523,113900.0,33.94,-117.42,132940.0,-19040.0,-14.322250639386189,Desconto bom
524,177200.0,32.8,-117.02,249389.9999999999,-72189.99999999991,-28.946629776655016,Desconto muito alto
525,119900.0,34.02,-118.25,163000.0,-43100.0,-26.44171779141104,Desconto muito alto
526,132700.0,32.58,-117.05,222054.99999999997,-89354.99999999997,-40.24003062304383,Desconto muito alto
527,228700.0,34.19,-118.88,283190.00000000006,-54490.00000000006,-19.241498640488736,Desconto muito alto
532,60400.0,36.72,-120.06,68429.99999999999,-8029.999999999985,-11.73461931901211,Desconto bom
533,159600.0,37.6,-122.02,199430.00000000003,-39830.00000000003,-19.97191997191998,Desconto muito alto
539,112800.0,37.79,-122.23,121985.00000000001,-9185.000000000015,-7.529614296839786,Desconto ok
540,83400.0,38.49,-121.5,112579.99999999999,-29179.999999999985,-25.91934624267187,Desconto muito alto
541,141400.0,38.4,-122.68,178200.0,-36800.0,-20.65095398428732,Desconto muito alto
542,85800.0,32.97,-117.1,194805.00000000003,-109005.00000000003,-55.95595595595596,Desconto muito alto
543,229300.0,34.27,-119.23,247999.99999999997,-18699.99999999997,-7.54032258064515,Desconto ok
544,107300.0,33.97,-118.29,119334.99999999999,-12034.999999999985,-10.08505467800728,Desconto bom
545,126200.0,37.31,-120.44,165965.0,-39765.0,-23.959871057150604,Desconto muito alto
547,93300.0,38.1,-122.22,146540.0,-53240.0,-36.331377098403166,Desconto muito alto
550,135500.0,34.09,-117.61,150685.0,-15185.0,-10.077313601221089,Desconto bom
551,187500.0,34.15,-118.25,235954.99999999994,-48454.99999999994,-20.535695365641736,Desconto muito alto
554,165900.0,35.28,-120.65,197905.00000000003,-32005.00000000003,-16.171900659407303,Desconto muito alto
558,78300.0,36.21,-119.32,124175.0,-45875.0,-36.943829273203136,Desconto muito alto
561,56000.0,39.36,-121.7,85170.0,-29170.0,-34.24914876130093,Desconto muito alto
562,169500.0,32.72,-116.99,271754.99999999994,-102254.99999999994,-37.62764254567532,Desconto muito alto
564,118000.0,37.74,-122.15,175715.00000000003,-57715.00000000003,-32.845801439831554,Desconto muito alto
568,42500.0,36.1,-119.21,60470.0,-17970.0,-29.717215148007277,Desconto muito alto
569,74100.0,40.88,-124.09,117225.00000000001,-43125.000000000015,-36.78822776711453,Desconto muito alto
570,286900.0,33.04,-117.29,310035.0,-23135.0,-7.462060735078298,Desconto ok
571,172600.0,33.91,-118.3,183590.00000000003,-10990.00000000003,-5.98616482379216,Desconto ok
573,178500.0,38.4,-122.83,200070.0,-21570.0,-10.781226570700255,Desconto bom
576,86400.0,40.62,-124.17,170544.99999999997,-84144.99999999997,-49.338884165469516,Desconto muito alto
577,112500.0,33.9,-118.23,189494.99999999997,-76994.99999999997,-40.63167893611968,Desconto muito alto
578,124299.99999999999,38.66,-121.26,174155.0,-49855.000000000015,-28.626797967327967,Desconto muito alto
579,133100.0,36.61,-121.83,186805.0,-53705.0,-28.749230480982845,Desconto muito alto
581,259300.0,34.18,-118.92,309049.99999999994,-49749.99999999994,-16.097718815725596,Desconto muito alto
582,88200.0,38.7,-121.37,111615.0,-23415.0,-20.978363123236125,Desconto muito alto
583,122999.99999999999,36.83,-119.82,163850.0,-40850.000000000015,-24.931339639914565,Desconto muito alto
584,69400.0,33.74,-116.22,116840.00000000001,-47440.000000000015,-40.602533378979814,Desconto muito alto
587,133500.0,38.03,-121.34,181355.0,-47855.0,-26.38747208513689,Desconto muito alto
591,156300.0,33.82,-118.19,325130.0,-168830.0,-51.92692153907667,Desconto muito alto
593,115700.0,35.64,-117.67,226060.0,-110360.0,-48.818897637795274,Desconto muito alto
595,100000.0,32.75,-117.11,130170.00000000001,-30170.000000000015,-23.17738342167935,Desconto muito alto
597,217100.0,34.26,-118.46,240185.0,-23085.0,-9.611341257780461,Desconto ok
598,210900.0,32.99,-116.89,229315.00000000003,-18415.00000000003,-8.030438479820347,Desconto ok
600,82500.0,35.44,-119.01,107204.99999999999,-24704.999999999985,-23.044634112214904,Desconto muito alto
604,311800.0,37.53,-122.26,358145.0,-46345.0,-12.940289547529632,Desconto bom
605,67500.0,34.06,-117.75,81030.0,-13530.0,-16.697519437245465,Desconto muito alto
606,58200.0,38.54,-121.46,68534.99999999999,-10334.999999999985,-15.079886189538176,Desconto muito alto
